permutation;execution_tree;approx_time;actual_time
[3 4 1 2 6 0 5];(((((lineorderX(supplier𝜎s_region∊['ASIA']))Xdate)𝜎d_year≤1997)X(customer𝜎c_region∊['ASIA']))𝜎d_year≥1992);8.579157600958741;1.4921150207519531
[1 5 2 0 4 6 3];((((((lineorderXsupplier)X(date𝜎d_year≥1992))Xcustomer)𝜎s_region∊['ASIA'])𝜎d_year≤1997)𝜎c_region∊['ASIA']);8.591621203640512;12.261070251464844
[6 0 3 2 4 1 5];(((((lineorderXcustomer)𝜎c_region∊['ASIA'])X(date𝜎d_year≤1997))X(supplier𝜎s_region∊['ASIA']))𝜎d_year≥1992);8.591385556505369;3.123788833618164
[3 1 2 0 5 4 6];((((((lineorderXsupplier)Xdate)X(customer𝜎c_region∊['ASIA']))𝜎d_year≥1992)𝜎s_region∊['ASIA'])𝜎d_year≤1997);8.58069793084922;6.736546993255615
[4 6 3 5 0 1 2];(((lineorderX(customer𝜎c_region∊['ASIA']))X(supplier𝜎s_region∊['ASIA']))X((date𝜎d_year≤1997)𝜎d_year≥1992));8.58076999526699;0.6774783134460449
[1 3 6 4 0 5 2];((((lineorderXsupplier)𝜎s_region∊['ASIA'])X(customer𝜎c_region∊['ASIA']))X((date𝜎d_year≤1997)𝜎d_year≥1992));8.579025775558511;2.6448512077331543
[3 4 6 1 2 0 5];((((lineorderX(supplier𝜎s_region∊['ASIA']))X(date𝜎d_year≤1997))X(customer𝜎c_region∊['ASIA']))𝜎d_year≥1992);8.578857058410644;1.1707885265350342
[5 2 4 0 1 3 6];(((((lineorderX(date𝜎d_year≥1992))Xcustomer)X(supplier𝜎s_region∊['ASIA']))𝜎c_region∊['ASIA'])𝜎d_year≤1997);8.590931420129552;6.216053009033203
[0 6 4 2 5 1 3];(((((lineorderXcustomer)X(date𝜎d_year≤1997))𝜎d_year≥1992)X(supplier𝜎s_region∊['ASIA']))𝜎c_region∊['ASIA']);8.605308383218109;7.145976543426514
[6 0 1 3 4 5 2];(((((lineorderXcustomer)Xsupplier)𝜎c_region∊['ASIA'])𝜎s_region∊['ASIA'])X((date𝜎d_year≤1997)𝜎d_year≥1992));8.605449299222736;6.387244701385498
[2 1 5 3 4 0 6];((((((lineorderXdate)Xsupplier)𝜎d_year≥1992)𝜎s_region∊['ASIA'])X(customer𝜎c_region∊['ASIA']))𝜎d_year≤1997);8.580392995051906;7.341620683670044
[1 5 2 3 4 6 0];(((((lineorderXsupplier)X(date𝜎d_year≥1992))𝜎s_region∊['ASIA'])𝜎d_year≤1997)X(customer𝜎c_region∊['ASIA']));8.57971648570926;6.507781267166138
[5 2 0 6 3 4 1];(((((lineorderX(date𝜎d_year≥1992))Xcustomer)𝜎d_year≤1997)𝜎c_region∊['ASIA'])X(supplier𝜎s_region∊['ASIA']));8.590653179091989;6.652011871337891
[3 0 5 2 1 4 6];(((((lineorderX(customer𝜎c_region∊['ASIA']))X(date𝜎d_year≥1992))Xsupplier)𝜎s_region∊['ASIA'])𝜎d_year≤1997);8.581636488272688;1.7150967121124268
[0 1 4 6 5 3 2];(((((lineorderXcustomer)Xsupplier)𝜎s_region∊['ASIA'])𝜎c_region∊['ASIA'])X((date𝜎d_year≤1997)𝜎d_year≥1992));8.60545030218372;6.396976470947266
[6 1 2 3 5 0 4];(((((lineorderXsupplier)X(date𝜎d_year≤1997))𝜎d_year≥1992)X(customer𝜎c_region∊['ASIA']))𝜎s_region∊['ASIA']);8.579887172088844;7.299221515655518
[0 4 5 3 2 1 6];(((((lineorderXcustomer)𝜎c_region∊['ASIA'])X(date𝜎d_year≥1992))X(supplier𝜎s_region∊['ASIA']))𝜎d_year≤1997);8.591385556505369;3.1867520809173584
[3 0 5 4 6 2 1];(((lineorderX(customer𝜎c_region∊['ASIA']))X((date𝜎d_year≥1992)𝜎d_year≤1997))X(supplier𝜎s_region∊['ASIA']));8.580833006096809;1.001474380493164
[4 2 1 0 5 6 3];((((((lineorderXdate)X(supplier𝜎s_region∊['ASIA']))Xcustomer)𝜎d_year≥1992)𝜎d_year≤1997)𝜎c_region∊['ASIA']);8.591466513164061;4.011592149734497
