permutation;execution_tree;approx_time;actual_time
[1 4 0 5 6 3 2];(((((lineorderXsupplier)X(customer𝜎c_region∊['AMERICA']))𝜎s_region∊['AMERICA'])Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));8.635844094162566;2.8033132553100586
[1 2 0 6 3 4 5];(((((((lineorderXsupplier)Xpart)Xcustomer)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate)𝜎c_region∊['AMERICA'])𝜎s_region∊['AMERICA']);8.736964243556217;15.622371673583984
[1 5 0 3 6 2 4];((((((lineorderXsupplier)𝜎s_region∊['AMERICA'])Xcustomer)Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎c_region∊['AMERICA']);8.646835980171456;3.682887554168701
[1 5 2 4 3 0 6];((((((lineorderXsupplier)𝜎s_region∊['AMERICA'])Xpart)Xdate)X(customer𝜎c_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);8.724243735410557;3.5047836303710938
[6 1 0 3 4 2 5];((((((lineorderXsupplier)Xcustomer)Xdate)𝜎c_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎s_region∊['AMERICA']);8.64799156936177;12.401644468307495
[4 3 0 1 6 2 5];(((((lineorderXdate)X(customer𝜎c_region∊['AMERICA']))Xsupplier)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎s_region∊['AMERICA']);8.637390924642594;3.3364098072052
[3 1 5 6 4 2 0];(((((lineorderXdate)Xsupplier)𝜎s_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA']));8.636165756575492;6.633826732635498
[6 4 0 5 1 3 2];((((lineorderX(customer𝜎c_region∊['AMERICA']))X(supplier𝜎s_region∊['AMERICA']))Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));8.637095641968434;0.6725456714630127
[0 1 6 3 5 2 4];((((((lineorderXcustomer)Xsupplier)Xdate)𝜎s_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎c_region∊['AMERICA']);8.662270823314117;12.474628210067749
[5 3 6 0 4 1 2];(((((lineorderXdate)Xcustomer)𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));8.647224985373127;6.048566579818726
[3 4 6 5 2 0 1];((((lineorderXdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA']))X(supplier𝜎s_region∊['AMERICA']));8.637095456894816;3.7164573669433594
[4 5 1 6 3 0 2];((((lineorderX(supplier𝜎s_region∊['AMERICA']))Xdate)X(customer𝜎c_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));8.635025779393002;0.9939460754394531
[2 0 4 3 1 6 5];(((((((lineorderXpart)Xcustomer)𝜎c_region∊['AMERICA'])Xdate)Xsupplier)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA']);8.882082248529267;8.84327244758606
[6 5 4 1 0 3 2];((((lineorderX(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA']))Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));8.635025779393004;0.6699252128601074
[2 0 4 3 6 5 1];((((((lineorderXpart)Xcustomer)𝜎c_region∊['AMERICA'])Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']));8.881444174073675;8.074133157730103
[3 4 6 5 2 1 0];((((lineorderXdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA']));8.636405564394211;3.6915769577026367
[3 0 6 2 4 5 1];(((((lineorderXdate)Xcustomer)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA']));8.647986822111488;7.918806791305542
[2 6 4 0 3 5 1];(((((lineorderXpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(customer𝜎c_region∊['AMERICA']))Xdate)X(supplier𝜎s_region∊['AMERICA']));8.73371161413191;3.643069267272949
[2 0 4 1 5 6 3];(((((((lineorderXpart)Xcustomer)𝜎c_region∊['AMERICA'])Xsupplier)𝜎s_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate);8.881864282277048;7.935608863830566
[1 4 2 6 5 0 3];((((((lineorderXsupplier)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA'])X(customer𝜎c_region∊['AMERICA']))Xdate);8.724820220299183;6.970187187194824
[4 0 2 3 5 6 1];(((((lineorderX(customer𝜎c_region∊['AMERICA']))Xpart)Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']));8.728155800172857;1.8232381343841553
[0 4 6 1 3 2 5];((((((lineorderXcustomer)𝜎c_region∊['AMERICA'])Xsupplier)Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎s_region∊['AMERICA']);8.647906684019368;3.818049192428589
[0 5 3 1 4 2 6];((((((lineorderXcustomer)Xdate)X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA'])Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);8.750963100289724;5.91437554359436
[2 4 3 1 6 5 0];((((((lineorderXpart)Xdate)Xsupplier)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA'])X(customer𝜎c_region∊['AMERICA']));8.86975313447571;13.299868822097778
[0 5 1 4 3 2 6];((((((lineorderXcustomer)X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA'])Xdate)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);8.750189683665814;2.7373454570770264
[2 0 5 4 6 1 3];((((((lineorderXpart)Xcustomer)𝜎c_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']))Xdate);8.881223372672924;7.155176162719727
[0 4 2 5 6 3 1];((((((lineorderXcustomer)𝜎c_region∊['AMERICA'])Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate)X(supplier𝜎s_region∊['AMERICA']));8.736457969402064;3.3288652896881104
[4 1 6 3 0 5 2];(((((lineorderXsupplier)Xdate)X(customer𝜎c_region∊['AMERICA']))𝜎s_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));8.63642029664322;6.369825124740601
[4 2 3 6 0 1 5];((((((lineorderXpart)Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(customer𝜎c_region∊['AMERICA']))Xsupplier)𝜎s_region∊['AMERICA']);8.869000785986408;7.886016845703125
