Permutation [0 4 5 6 1 3 2] produces (((((lineorderXcustomer)𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA']))Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])) takes 4.242016077041626 seconds.
Permutation [0 4 6 5 1 2 3] produces (((((lineorderXcustomer)𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate) takes 4.137301445007324 seconds.
Permutation [3 5 6 2 1 4 0] produces ((((lineorderXdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA'])) takes 5.72204852104187 seconds.
Permutation [3 4 1 5 2 6 0] produces ((((((lineorderXdate)Xsupplier)𝜎s_region∊['AMERICA'])Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(customer𝜎c_region∊['AMERICA'])) takes 11.571497440338135 seconds.
Permutation [3 2 6 0 5 4 1] produces ((((((lineorderXdate)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xcustomer)𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA'])) takes 14.467095375061035 seconds.
Permutation [1 0 5 3 2 4 6] produces (((((((lineorderXsupplier)Xcustomer)𝜎s_region∊['AMERICA'])Xdate)Xpart)𝜎c_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2']) takes 13.709133386611938 seconds.
Permutation [4 5 3 0 6 2 1] produces ((((lineorderXdate)X(customer𝜎c_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA'])) takes 4.0483558177948 seconds.
Permutation [3 5 0 2 6 1 4] produces ((((((lineorderXdate)Xcustomer)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA']) takes 20.96661877632141 seconds.
Permutation [6 4 0 2 3 1 5] produces (((((lineorderX(customer𝜎c_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate)Xsupplier)𝜎s_region∊['AMERICA']) takes 2.347409963607788 seconds.
Permutation [1 5 3 6 2 4 0] produces (((((lineorderXsupplier)𝜎s_region∊['AMERICA'])Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA'])) takes 5.236366271972656 seconds.
Permutation [6 2 0 5 1 4 3] produces (((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xcustomer)X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA'])Xdate) takes 4.208791017532349 seconds.
Permutation [2 3 4 1 5 0 6] produces ((((((lineorderXpart)Xdate)Xsupplier)𝜎s_region∊['AMERICA'])X(customer𝜎c_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2']) takes 21.2183620929718 seconds.
Permutation [2 4 1 3 0 6 5] produces ((((((lineorderXpart)Xsupplier)Xdate)X(customer𝜎c_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA']) takes 21.872021913528442 seconds.
Permutation [1 0 3 2 6 4 5] produces (((((((lineorderXsupplier)Xcustomer)Xdate)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎c_region∊['AMERICA'])𝜎s_region∊['AMERICA']) takes 33.693867206573486 seconds.
Permutation [3 4 1 5 0 6 2] produces (((((lineorderXdate)Xsupplier)𝜎s_region∊['AMERICA'])X(customer𝜎c_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])) takes 10.003549337387085 seconds.
Permutation [1 4 3 2 0 6 5] produces ((((((lineorderXsupplier)Xdate)Xpart)X(customer𝜎c_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA']) takes 20.798996448516846 seconds.
Permutation [1 2 6 0 5 4 3] produces (((((((lineorderXsupplier)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xcustomer)𝜎s_region∊['AMERICA'])𝜎c_region∊['AMERICA'])Xdate) takes 14.799829483032227 seconds.
Permutation [1 4 5 3 0 2 6] produces ((((((lineorderXsupplier)𝜎s_region∊['AMERICA'])Xdate)X(customer𝜎c_region∊['AMERICA']))Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2']) takes 5.111076831817627 seconds.
Permutation [5 3 1 4 6 2 0] produces ((((lineorderXdate)X(supplier𝜎s_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA'])) takes 4.186622858047485 seconds.
