permutation;execution_tree;actual_time;actual_mem_peak
[2 0 4 3 5 1 6];((((((lineorderXpart)Xcustomer)𝜎c_region∊['AMERICA'])Xdate)X(supplier𝜎s_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);8.057724237442017;4707331617
[6 5 3 4 2 0 1];((((lineorderXdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA']))X(supplier𝜎s_region∊['AMERICA']));3.808079242706299;4233552200
[5 1 6 3 0 2 4];(((((lineorderX(supplier𝜎s_region∊['AMERICA']))Xdate)Xcustomer)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎c_region∊['AMERICA']);1.9090168476104736;1306084988
[0 1 4 5 2 3 6];(((((((lineorderXcustomer)Xsupplier)𝜎c_region∊['AMERICA'])𝜎s_region∊['AMERICA'])Xpart)Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);6.806585311889648;4479761079
[5 3 2 6 4 0 1];(((((lineorderXdate)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(customer𝜎c_region∊['AMERICA']))X(supplier𝜎s_region∊['AMERICA']));7.760922431945801;5969546001
[2 6 4 1 0 3 5];((((((lineorderXpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xsupplier)X(customer𝜎c_region∊['AMERICA']))Xdate)𝜎s_region∊['AMERICA']);4.872947692871094;3473481492
[1 4 3 5 2 0 6];((((((lineorderXsupplier)Xdate)𝜎s_region∊['AMERICA'])Xpart)X(customer𝜎c_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);7.1305952072143555;5296245211
[6 3 2 0 4 1 5];((((((lineorderXdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xcustomer)𝜎c_region∊['AMERICA'])Xsupplier)𝜎s_region∊['AMERICA']);5.8687968254089355;4233638918
[2 6 1 5 4 3 0];((((((lineorderXpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xsupplier)𝜎s_region∊['AMERICA'])Xdate)X(customer𝜎c_region∊['AMERICA']));4.8319947719573975;3473481588
[6 1 2 4 0 5 3];(((((lineorderXsupplier)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA']))𝜎s_region∊['AMERICA'])Xdate);3.8196256160736084;3273446305
[6 3 5 2 0 1 4];(((((lineorderXdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xcustomer)X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA']);5.356475830078125;4233638764
